EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
852257866,F,3,1,2376,24,2,At/Near Standard,2422,43,Below Standard,2298,50,At/Near Standard,2394,55,At/Near Standard,2397,54,1,2398,18,2,At/Near Standard,2401,26,Below Standard,2374,35,At/Near Standard,2426,39
884652568,F,3,1,2400,21,2,At/Near Standard,2458,35,Below Standard,2354,40,At/Near Standard,2444,55,Below Standard,2146,157,1,2411,18,2,At/Near Standard,2407,23,Below Standard,2338,54,At/Near Standard,2470,34
357357318,F,3,1,2420,21,2,At/Near Standard,2396,34,At/Near Standard,2420,36,At/Near Standard,2456,61,At/Near Standard,2453,57,1,2492,16,3,At/Near Standard,2468,24,Above Standard,2534,37,Above Standard,2494,31
343215325,F,3,1,2285,32,1,Below Standard,2308,54,Below Standard,2292,52,Below Standard,2129,175,Below Standard,2308,65,1,2204,38,1,Below Standard,2217,39,Below Standard,2219,110,Below Standard,2221,115
316372645,F,3,1,2411,22,2,At/Near Standard,2434,42,At/Near Standard,2407,36,Above Standard,2555,80,Below Standard,2204,141,1,2390,17,2,Below Standard,2329,36,At/Near Standard,2445,26,At/Near Standard,2354,59
735251549,M,3,1,2448,21,3,At/Near Standard,2489,41,At/Near Standard,2411,35,At/Near Standard,2389,59,Above Standard,2514,51,1,2477,19,3,Above Standard,2487,28,At/Near Standard,2445,38,At/Near Standard,2490,41
592773385,F,3,1,2451,21,3,At/Near Standard,2454,38,At/Near Standard,2456,35,At/Near Standard,2520,74,At/Near Standard,2405,54,1,2423,16,2,At/Near Standard,2434,23,At/Near Standard,2397,30,At/Near Standard,2437,39
558397576,F,3,1,2480,24,3,At/Near Standard,2457,45,Above Standard,2501,41,At/Near Standard,2401,78,Above Standard,2508,44,1,2470,18,3,Above Standard,2482,26,At/Near Standard,2449,33,At/Near Standard,2471,35
136738572,M,3,1,2292,28,1,Below Standard,2286,50,Below Standard,2280,48,At/Near Standard,2366,59,Below Standard,2237,83,1,2241,30,1,Below Standard,2210,41,Below Standard,2313,42,Below Standard,2226,124
482857183,M,3,1,2531,22,4,Above Standard,2577,52,Above Standard,2561,44,At/Near Standard,2467,59,Above Standard,2507,42,1,2471,17,3,Above Standard,2479,27,At/Near Standard,2469,29,At/Near Standard,2459,37
346927568,F,3,1,2407,25,2,At/Near Standard,2486,49,Below Standard,2337,53,At/Near Standard,2459,58,At/Near Standard,2354,68,1,2398,17,2,Below Standard,2393,25,Below Standard,2383,31,At/Near Standard,2431,36
443296115,M,3,1,2316,27,1,Below Standard,2339,45,Below Standard,2316,44,At/Near Standard,2325,78,Below Standard,2270,69,1,2443,20,3,Below Standard,2379,26,At/Near Standard,2438,36,Above Standard,2576,51
568144953,F,3,1,2461,23,3,At/Near Standard,2427,42,At/Near Standard,2425,42,At/Near Standard,2542,78,Above Standard,2510,49,1,2451,18,3,At/Near Standard,2465,26,At/Near Standard,2436,36,At/Near Standard,2439,39
235257336,F,3,1,2306,27,1,Below Standard,2333,51,Below Standard,2224,62,At/Near Standard,2406,54,Below Standard,2267,71,1,2365,21,1,At/Near Standard,2402,26,Below Standard,2282,71,Below Standard,2284,82
521265282,M,3,1,2470,22,3,At/Near Standard,2431,38,At/Near Standard,2488,40,At/Near Standard,2479,66,At/Near Standard,2488,41,1,2488,18,3,Above Standard,2498,26,At/Near Standard,2466,35,Above Standard,2490,35
545693473,F,3,1,2397,21,2,At/Near Standard,2404,33,At/Near Standard,2386,39,At/Near Standard,2434,56,At/Near Standard,2350,68,1,2402,19,2,Below Standard,2383,25,At/Near Standard,2472,37,At/Near Standard,2374,51
532727526,F,3,1,2375,23,2,Below Standard,2342,42,Below Standard,2317,53,At/Near Standard,2473,62,At/Near Standard,2437,59,1,2416,18,2,At/Near Standard,2413,24,At/Near Standard,2435,38,At/Near Standard,2405,39
573848655,M,3,1,2383,23,2,Below Standard,2362,42,At/Near Standard,2440,39,Below Standard,2330,58,At/Near Standard,2367,56,1,2464,17,3,Above Standard,2474,25,At/Near Standard,2468,30,At/Near Standard,2440,35
284223628,F,3,1,2473,23,3,At/Near Standard,2447,41,Above Standard,2515,40,At/Near Standard,2443,54,At/Near Standard,2458,66,1,2464,17,3,Above Standard,2478,24,At/Near Standard,2449,39,At/Near Standard,2450,32
772724679,M,3,1,2392,22,2,At/Near Standard,2392,44,At/Near Standard,2380,39,At/Near Standard,2478,59,Below Standard,2330,64,1,2441,17,3,At/Near Standard,2445,24,At/Near Standard,2456,31,At/Near Standard,2406,42
572588958,F,3,1,2470,24,3,Above Standard,2512,48,At/Near Standard,2486,39,At/Near Standard,2434,80,At/Near Standard,2380,76,1,2479,16,3,At/Near Standard,2469,24,Above Standard,2487,29,Above Standard,2489,33
115857666,F,3,1,2480,24,3,Above Standard,2536,52,At/Near Standard,2415,43,At/Near Standard,2414,75,Above Standard,2554,54,1,2448,15,3,At/Near Standard,2462,23,At/Near Standard,2442,27,At/Near Standard,2425,36
352536826,F,3,1,2434,21,3,At/Near Standard,2427,33,Above Standard,2495,38,At/Near Standard,2413,59,At/Near Standard,2280,103,1,2364,20,1,Below Standard,2354,29,Below Standard,2364,34,At/Near Standard,2393,47
397621316,M,3,1,2424,25,2,At/Near Standard,2447,45,At/Near Standard,2385,47,At/Near Standard,2502,59,At/Near Standard,2379,66,1,2502,18,4,Above Standard,2500,26,Above Standard,2508,33,Above Standard,2497,38
338465514,M,3,1,2437,23,3,Above Standard,2502,44,At/Near Standard,2430,36,At/Near Standard,2395,60,At/Near Standard,2342,81,1,2442,17,3,At/Near Standard,2439,24,At/Near Standard,2449,30,At/Near Standard,2441,38
946954267,F,3,1,2498,23,4,Above Standard,2503,44,Above Standard,2546,39,At/Near Standard,2481,72,At/Near Standard,2283,160,1,2449,17,3,At/Near Standard,2454,25,At/Near Standard,2432,29,At/Near Standard,2466,39
479982588,F,3,1,2484,24,3,At/Near Standard,2469,44,At/Near Standard,2466,44,At/Near Standard,2514,57,At/Near Standard,2502,48,1,2434,18,2,At/Near Standard,2416,25,At/Near Standard,2444,36,At/Near Standard,2462,35
425627254,M,3,1,2399,26,2,At/Near Standard,2421,49,At/Near Standard,2406,43,At/Near Standard,2415,61,At/Near Standard,2338,67,1,2496,17,3,Above Standard,2500,26,At/Near Standard,2462,36,Above Standard,2515,30
311652866,M,3,1,2395,22,2,Below Standard,2229,85,At/Near Standard,2434,35,At/Near Standard,2406,52,At/Near Standard,2479,61,1,2501,17,4,Above Standard,2500,26,Above Standard,2499,27,Above Standard,2503,36
317943349,M,3,1,2455,21,3,At/Near Standard,2476,39,At/Near Standard,2437,39,At/Near Standard,2481,58,At/Near Standard,2431,53,1,2447,16,3,At/Near Standard,2420,25,At/Near Standard,2469,27,At/Near Standard,2468,34
865495537,M,3,1,2424,21,2,At/Near Standard,2444,38,At/Near Standard,2444,35,At/Near Standard,2405,50,At/Near Standard,2272,109,1,2426,18,2,At/Near Standard,2420,28,Below Standard,2387,33,At/Near Standard,2483,33
375669357,M,3,1,2384,22,2,At/Near Standard,2396,33,Below Standard,2362,41,At/Near Standard,2469,60,Below Standard,2210,113,1,2461,17,3,At/Near Standard,2457,25,At/Near Standard,2425,31,Above Standard,2509,33
225123782,M,3,1,2284,29,1,Below Standard,2285,68,Below Standard,2346,39,Below Standard,2171,141,Below Standard,2132,154,1,2329,22,1,Below Standard,2336,26,Below Standard,2351,45,Below Standard,2217,110
267463375,M,3,1,2452,22,3,At/Near Standard,2458,41,At/Near Standard,2438,33,At/Near Standard,2413,60,Above Standard,2519,53,1,2512,18,4,Above Standard,2524,27,Above Standard,2568,47,At/Near Standard,2439,40
