EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
531455673,M,4,1,2401,24,1,At/Near Standard,Below Standard,Below Standard,Below Standard,1,2423,17,2,Below Standard,Below Standard,At/Near Standard
137234243,F,4,1,2484,26,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2465,17,2,At/Near Standard,At/Near Standard,At/Near Standard
527751239,F,4,1,2319,27,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2410,19,1,Below Standard,Below Standard,Below Standard
294638557,F,4,1,2398,28,1,At/Near Standard,Below Standard,Below Standard,At/Near Standard,1,2434,18,2,At/Near Standard,Below Standard,Below Standard
296943242,M,4,1,2545,24,4,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2548,17,3,Above Standard,Above Standard,At/Near Standard
263237767,M,4,1,2336,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2443,18,2,At/Near Standard,Below Standard,Below Standard
227432557,F,4,1,2540,24,4,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2511,17,3,At/Near Standard,Above Standard,At/Near Standard
977649646,M,4,1,2444,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2450,17,2,At/Near Standard,Below Standard,Below Standard
137479635,F,4,1,2428,26,2,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2493,17,3,At/Near Standard,At/Near Standard,At/Near Standard
555132932,F,4,1,2448,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2457,17,2,At/Near Standard,At/Near Standard,Below Standard
485681756,F,4,1,2382,26,1,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2410,18,1,Below Standard,At/Near Standard,Below Standard
518965226,F,4,1,2410,23,1,Below Standard,At/Near Standard,Below Standard,At/Near Standard,1,2400,20,1,Below Standard,Below Standard,Below Standard
248651537,M,4,1,2320,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2421,19,2,Below Standard,Below Standard,At/Near Standard
663881415,F,4,1,2364,25,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2399,19,1,Below Standard,Below Standard,At/Near Standard
476528697,F,4,1,2430,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2472,16,2,At/Near Standard,At/Near Standard,At/Near Standard
286965861,M,4,1,2459,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2483,17,2,At/Near Standard,At/Near Standard,At/Near Standard
625725682,M,4,1,2439,25,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2422,19,2,Below Standard,At/Near Standard,Below Standard
244949775,M,4,1,2444,23,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2465,16,2,At/Near Standard,At/Near Standard,At/Near Standard
472558337,F,4,1,2419,25,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2433,18,2,Below Standard,At/Near Standard,Below Standard
228854854,M,4,1,2428,25,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2413,18,2,Below Standard,Below Standard,Below Standard
932897743,M,4,1,2586,27,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2567,18,4,Above Standard,Above Standard,Above Standard
596715248,F,4,1,2303,31,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2329,26,1,Below Standard,Below Standard,Below Standard
282115599,M,4,1,2601,27,4,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2558,18,4,Above Standard,Above Standard,Above Standard
143349492,M,4,1,2375,26,1,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2397,20,1,Below Standard,At/Near Standard,Below Standard
499483757,F,4,1,2480,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2502,16,3,At/Near Standard,At/Near Standard,Above Standard
418751397,F,4,1,2454,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2427,19,2,At/Near Standard,Below Standard,Below Standard
263635686,M,4,1,2496,24,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2542,16,3,At/Near Standard,Above Standard,Above Standard
466229843,F,4,1,2508,24,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2554,17,4,Above Standard,Above Standard,At/Near Standard
258479168,M,4,1,2351,27,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2445,18,2,Below Standard,At/Near Standard,At/Near Standard
462351563,F,4,1,2516,24,3,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2513,17,3,Above Standard,At/Near Standard,At/Near Standard
428674826,F,4,1,2455,24,2,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2441,18,2,At/Near Standard,Below Standard,At/Near Standard
281229587,M,4,1,2447,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2470,16,2,Below Standard,At/Near Standard,At/Near Standard
452383412,F,4,1,2430,26,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2475,18,2,Below Standard,At/Near Standard,At/Near Standard
337734774,F,4,1,2448,24,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2457,17,2,Below Standard,At/Near Standard,At/Near Standard
233562187,F,4,1,2441,24,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2456,18,2,At/Near Standard,At/Near Standard,At/Near Standard
737945762,F,4,1,2414,25,1,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2444,18,2,At/Near Standard,At/Near Standard,Below Standard
428357226,F,4,1,2524,24,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2504,16,3,At/Near Standard,At/Near Standard,At/Near Standard
272726745,M,4,1,2461,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2526,17,3,Above Standard,Above Standard,At/Near Standard
556673559,F,4,1,2478,26,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2443,18,2,At/Near Standard,Below Standard,Below Standard
579236832,F,4,1,2406,24,1,Below Standard,Below Standard,Above Standard,Below Standard,1,2455,17,2,At/Near Standard,At/Near Standard,Below Standard
214923487,M,4,1,2615,28,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2605,17,4,Above Standard,Above Standard,Above Standard
613525798,M,4,1,2434,26,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2406,18,1,Below Standard,Below Standard,Below Standard
262187393,M,4,1,2459,26,2,At/Near Standard,Below Standard,Above Standard,At/Near Standard,1,2416,19,2,Below Standard,Below Standard,Below Standard
243674559,M,4,1,2513,25,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2520,16,3,At/Near Standard,Above Standard,At/Near Standard
446232241,F,4,1,2531,23,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2532,17,3,At/Near Standard,At/Near Standard,Above Standard
266476451,M,4,1,2529,23,3,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2589,18,4,Above Standard,At/Near Standard,Above Standard
