EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
465329435,M,4,1,2412,24,1,655L,At/Near Standard,2426,43,At/Near Standard,2466,41,Below Standard,2278,96,Below Standard,2342,64,1,2478,17,2,695Q,At/Near Standard,2474,24,Above Standard,2563,50,Below Standard,2422,39
626899547,M,4,1,2269,33,1,345L,Below Standard,2286,63,Below Standard,2290,45,Below Standard,2164,127,Below Standard,2237,89,1,2329,27,1,225Q,Below Standard,2343,32,Below Standard,2328,63,Below Standard,2269,85
667985363,M,4,1,2377,31,1,580L,At/Near Standard,2419,59,Below Standard,2343,51,At/Near Standard,2543,79,Below Standard,2193,161,1,2386,19,1,405Q,Below Standard,2381,27,Below Standard,2401,40,Below Standard,2383,40
474172892,F,4,1,2535,21,4,925L,Above Standard,2588,44,At/Near Standard,2476,41,Above Standard,2581,69,At/Near Standard,2531,40,1,2475,19,2,685Q,Above Standard,2522,24,Below Standard,2347,69,At/Near Standard,2434,39
124636354,M,4,1,2563,27,4,985L,Above Standard,2669,58,At/Near Standard,2493,50,At/Near Standard,2539,68,At/Near Standard,2533,63,1,2459,17,2,635Q,Below Standard,2443,24,At/Near Standard,2456,31,At/Near Standard,2500,34
568636226,F,4,1,2485,24,3,815L,At/Near Standard,2491,42,At/Near Standard,2511,40,At/Near Standard,2460,79,At/Near Standard,2412,71,1,2464,18,2,650Q,At/Near Standard,2465,26,At/Near Standard,2437,38,At/Near Standard,2484,33
829428689,M,4,1,2488,25,3,820L,At/Near Standard,2419,57,At/Near Standard,2483,56,At/Near Standard,2593,81,At/Near Standard,2511,43,1,2495,18,3,750Q,At/Near Standard,2507,28,At/Near Standard,2533,40,At/Near Standard,2447,38
925593373,M,4,1,2395,28,1,620L,At/Near Standard,2423,40,Below Standard,2333,58,At/Near Standard,2570,89,Below Standard,2192,157,1,2431,18,2,545Q,Below Standard,2417,25,At/Near Standard,2453,33,At/Near Standard,2440,46
745226645,M,4,1,2488,26,3,820L,At/Near Standard,2493,53,At/Near Standard,2483,42,At/Near Standard,2452,78,At/Near Standard,2505,48,1,2477,17,2,690Q,At/Near Standard,2503,26,At/Near Standard,2461,37,At/Near Standard,2450,32
527427322,F,4,1,2429,28,2,695L,At/Near Standard,2543,48,Below Standard,2400,48,Below Standard,2335,86,Below Standard,2325,87,1,2431,18,2,545Q,Below Standard,2421,27,Below Standard,2412,38,At/Near Standard,2466,33
