EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
288523769,M,5,1,2542,24,3,At/Near Standard,2505,47,At/Near Standard,2502,41,Above Standard,2608,71,Above Standard,2598,49,1,2612,16,4,Above Standard,2593,23,Above Standard,2650,34,Above Standard,2607,35
752454321,F,5,1,2538,23,3,At/Near Standard,2499,43,At/Near Standard,2556,41,At/Near Standard,2632,96,At/Near Standard,2529,41,1,2476,21,2,At/Near Standard,2488,31,Below Standard,2446,43,At/Near Standard,2487,41
586447453,M,5,1,2626,25,4,Above Standard,2588,49,Above Standard,2629,54,Above Standard,2630,63,Above Standard,2648,42,1,2574,19,3,At/Near Standard,2549,25,Above Standard,2606,33,At/Near Standard,2608,59
857442888,M,5,1,2477,24,2,At/Near Standard,2548,46,At/Near Standard,2474,40,At/Near Standard,2514,72,Below Standard,2290,136,1,2433,26,1,Below Standard,2427,36,At/Near Standard,2471,41,Below Standard,2377,69
483734185,F,5,1,2403,25,1,Below Standard,2409,45,Below Standard,2427,46,Below Standard,2371,78,Below Standard,2384,48,1,2445,24,1,Below Standard,2455,32,Below Standard,2433,62,Below Standard,2431,50
427676385,F,5,1,2529,23,3,At/Near Standard,2558,45,At/Near Standard,2546,42,At/Near Standard,2574,59,At/Near Standard,2444,60,1,2474,22,2,Below Standard,2471,29,At/Near Standard,2506,36,Below Standard,2422,64
564881337,M,5,1,2496,25,2,At/Near Standard,2473,48,At/Near Standard,2557,45,At/Near Standard,2524,76,At/Near Standard,2424,62,1,2536,18,3,At/Near Standard,2551,27,At/Near Standard,2538,33,At/Near Standard,2500,43
184675154,F,5,1,2473,24,2,At/Near Standard,2440,45,At/Near Standard,2502,40,Below Standard,2385,69,At/Near Standard,2523,54,1,2385,29,1,Below Standard,2376,38,Below Standard,2430,53,Below Standard,2363,60
827543447,F,5,1,2418,26,1,Below Standard,2250,111,At/Near Standard,2504,49,At/Near Standard,2435,76,Below Standard,2396,49,1,2420,26,1,Below Standard,2431,33,Below Standard,2405,76,Below Standard,2401,55
457499693,M,5,1,2410,25,1,Below Standard,2403,47,Below Standard,2404,43,At/Near Standard,2435,76,Below Standard,2416,51,1,2442,24,1,Below Standard,2453,32,Below Standard,2417,52,Below Standard,2445,54
814285228,M,5,1,2480,23,2,At/Near Standard,2485,43,At/Near Standard,2497,41,At/Near Standard,2466,61,At/Near Standard,2461,48,1,2425,25,1,Below Standard,2446,32,Below Standard,2397,64,Below Standard,2373,70
766475356,M,5,1,2431,27,1,At/Near Standard,2500,47,Below Standard,2404,48,Below Standard,2305,113,At/Near Standard,2421,56,1,2440,25,1,Below Standard,2419,37,Below Standard,2425,59,At/Near Standard,2481,43
875472472,M,5,1,2466,25,2,At/Near Standard,2466,45,At/Near Standard,2448,50,At/Near Standard,2516,69,At/Near Standard,2455,51,1,2448,24,1,Below Standard,2443,35,Below Standard,2442,45,At/Near Standard,2464,46
856915463,F,5,1,2662,28,4,Above Standard,2758,72,Above Standard,2624,51,Above Standard,2687,65,Above Standard,2612,51,1,2583,17,4,At/Near Standard,2565,26,Above Standard,2585,28,Above Standard,2614,35
348889862,F,5,1,2429,26,1,At/Near Standard,2469,47,Below Standard,2416,43,At/Near Standard,2459,65,Below Standard,2348,84,1,2414,24,1,Below Standard,2421,32,Below Standard,2357,68,Below Standard,2444,50
454432792,M,5,1,2398,27,1,At/Near Standard,2490,47,Below Standard,2313,62,Below Standard,2376,76,Below Standard,2382,54,1,2430,25,1,Below Standard,2474,30,Below Standard,2367,72,Below Standard,2300,78
875858335,F,5,1,2566,24,3,At/Near Standard,2483,40,Above Standard,2641,51,At/Near Standard,2601,82,Above Standard,2589,49,1,2468,21,2,Below Standard,2456,31,At/Near Standard,2480,35,At/Near Standard,2473,45
852277867,M,5,1,2607,26,4,Above Standard,2646,55,Above Standard,2641,49,At/Near Standard,2541,69,At/Near Standard,2567,55,1,2610,19,4,Above Standard,2599,25,Above Standard,2602,37,Above Standard,2655,47
813398216,F,5,1,2474,25,2,At/Near Standard,2499,44,At/Near Standard,2483,42,At/Near Standard,2491,77,At/Near Standard,2421,59,1,2458,22,2,Below Standard,2445,31,At/Near Standard,2521,35,Below Standard,2394,55
888642884,M,5,1,2433,23,1,Below Standard,2407,41,Below Standard,2367,45,At/Near Standard,2631,112,At/Near Standard,2505,50,1,2359,32,1,Below Standard,2371,36,Below Standard,2422,67,Below Standard,2224,144
784282535,M,5,1,2495,23,2,At/Near Standard,2534,45,At/Near Standard,2449,37,At/Near Standard,2539,68,At/Near Standard,2505,48,1,2550,17,3,Above Standard,2585,24,At/Near Standard,2483,42,At/Near Standard,2531,40
