EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
866668459,F,5,1,2480,23,2,845L,At/Near Standard,2497,41,At/Near Standard,2520,44,Below Standard,2353,75,At/Near Standard,2469,47,1,2500,20,2,770Q,Below Standard,2464,33,At/Near Standard,2564,30,Below Standard,2452,49
184723374,F,5,1,2574,27,3,1055L,Above Standard,2671,66,At/Near Standard,2501,47,Above Standard,2621,68,At/Near Standard,2557,59,1,2534,19,3,870Q,At/Near Standard,2531,28,At/Near Standard,2548,33,At/Near Standard,2520,43
731399465,F,5,1,2487,25,2,860L,At/Near Standard,2521,48,At/Near Standard,2497,44,At/Near Standard,2479,77,At/Near Standard,2444,53,1,2429,27,1,570Q,Below Standard,2464,32,Below Standard,2424,52,Below Standard,2265,130
725354976,F,5,1,2510,25,3,915L,At/Near Standard,2508,46,At/Near Standard,2594,62,At/Near Standard,2563,71,At/Near Standard,2445,47,1,2507,20,2,790Q,At/Near Standard,2523,25,At/Near Standard,2448,58,At/Near Standard,2502,49
411368824,M,5,1,2478,24,2,840L,At/Near Standard,2470,40,At/Near Standard,2496,45,At/Near Standard,2525,84,At/Near Standard,2451,53,1,2509,20,2,800Q,At/Near Standard,2518,26,At/Near Standard,2510,37,At/Near Standard,2464,60
759446756,F,5,1,2447,23,2,775L,Below Standard,2365,58,At/Near Standard,2515,41,At/Near Standard,2473,66,Below Standard,2411,47,1,2456,21,2,645Q,Below Standard,2454,31,Below Standard,2448,39,At/Near Standard,2470,42
457767474,F,5,1,2567,25,3,1040L,Above Standard,2629,48,Above Standard,2581,45,At/Near Standard,2440,83,At/Near Standard,2532,52,1,2493,19,2,755Q,Below Standard,2484,26,At/Near Standard,2527,32,At/Near Standard,2466,46
945638286,F,5,1,2509,24,3,910L,At/Near Standard,2564,45,At/Near Standard,2446,47,At/Near Standard,2596,74,At/Near Standard,2435,81,1,2414,27,1,530Q,Below Standard,2410,37,Below Standard,2365,73,At/Near Standard,2474,52
575646863,M,5,1,2266,39,1,370L,Below Standard,2176,162,Below Standard,2201,80,Below Standard,2315,80,Below Standard,2339,66,1,2357,31,1,365Q,Below Standard,2373,35,Below Standard,2328,120,Below Standard,2320,90
574652987,M,5,1,2310,30,1,470L,Below Standard,2312,64,Below Standard,2244,62,At/Near Standard,2420,74,Below Standard,2330,54,1,2244,48,1,45Q,Below Standard,2247,54,Below Standard,2240,141,Below Standard,2301,105
