EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
345694681,F,5,1,2451,24,2,780L,At/Near Standard,2469,38,Below Standard,2406,53,At/Near Standard,2496,64,At/Near Standard,2431,52,1,2437,25,1,595Q,Below Standard,2414,40,Below Standard,2453,41,Below Standard,2451,46
465329435,M,5,1,2440,25,1,755L,At/Near Standard,2501,41,Below Standard,2384,46,At/Near Standard,2392,76,At/Near Standard,2446,46,1,2472,24,2,695Q,At/Near Standard,2517,33,Below Standard,2427,58,Below Standard,2355,88
626899547,M,5,1,2330,30,1,515L,Below Standard,2342,59,Below Standard,2312,63,Below Standard,2284,92,Below Standard,2350,49,1,2361,28,1,375Q,Below Standard,2348,38,Below Standard,2315,78,Below Standard,2430,55
667985363,M,5,1,2474,25,2,835L,At/Near Standard,2511,43,Below Standard,2424,51,At/Near Standard,2451,68,At/Near Standard,2487,50,1,2553,19,3,925Q,At/Near Standard,2564,28,At/Near Standard,2549,33,At/Near Standard,2535,41
124636354,M,5,1,2528,27,3,955L,At/Near Standard,2529,50,Above Standard,2608,60,Above Standard,2689,98,Below Standard,2370,82,1,2503,20,2,780Q,At/Near Standard,2510,29,At/Near Standard,2500,37,At/Near Standard,2491,42
847485293,F,5,1,2506,24,3,905L,Above Standard,2583,46,At/Near Standard,2456,49,At/Near Standard,2488,74,At/Near Standard,2478,45,1,2369,26,1,400Q,Below Standard,2339,36,Below Standard,2425,50,Below Standard,2378,56
829428689,M,5,1,2516,26,3,925L,At/Near Standard,2548,52,At/Near Standard,2528,52,At/Near Standard,2475,66,At/Near Standard,2496,49,1,2514,20,2,810Q,At/Near Standard,2511,27,At/Near Standard,2558,36,Below Standard,2440,58
115943455,M,5,1,2457,25,2,795L,At/Near Standard,2483,41,At/Near Standard,2502,52,Below Standard,2377,76,Below Standard,2418,53,1,2378,34,1,425Q,Below Standard,2414,38,At/Near Standard,2285,167,Below Standard,2323,112
247252324,M,5,1,2513,24,3,920L,At/Near Standard,2527,42,At/Near Standard,2551,57,At/Near Standard,2321,129,At/Near Standard,2520,39,1,2515,19,2,815Q,At/Near Standard,2557,28,At/Near Standard,2476,49,Below Standard,2454,42
745226645,M,5,1,2546,25,3,995L,At/Near Standard,2515,41,At/Near Standard,2535,47,At/Near Standard,2513,77,Above Standard,2615,55,1,2614,19,4,1095Q,Above Standard,2655,26,At/Near Standard,2568,34,At/Near Standard,2550,54
