EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
102863050,M,10,1,2595,29,3,1245L,At/Near Standard,2612,51,At/Near Standard,2570,54,At/Near Standard,2545,100,At/Near Standard,2619,57,1,2649,24,3,1270Q,At/Near Standard,2641,30,At/Near Standard,2403,198,Above Standard,2711,48
102109501,M,10,1,2513,28,2,1085L,Below Standard,2464,50,At/Near Standard,2590,47,At/Near Standard,2585,71,Below Standard,2274,155,1,2442,51,1,890Q,Below Standard,2504,52,Below Standard,2302,198,Below Standard,2282,172
102109509,M,10,1,2598,28,3,1250L,Above Standard,2664,50,Above Standard,2657,48,At/Near Standard,2502,72,Below Standard,2312,173,1,2708,22,4,1380Q,Above Standard,2754,28,At/Near Standard,2626,59,At/Near Standard,2527,108
102109520,M,10,1,2518,30,2,1095L,Below Standard,2429,75,At/Near Standard,2530,52,At/Near Standard,2587,62,At/Near Standard,2510,66,1,2562,30,2,1110Q,At/Near Standard,2562,36,At/Near Standard,2530,95,At/Near Standard,2584,69
102109523,F,10,1,2462,33,1,985L,Below Standard,2340,104,At/Near Standard,2505,52,Below Standard,2456,77,At/Near Standard,2482,73,1,2396,53,1,805Q,Below Standard,2447,57,Below Standard,2226,198,Below Standard,2303,143
102109534,F,10,1,2666,26,3,1385L,Above Standard,2727,51,At/Near Standard,2635,48,Above Standard,2704,82,At/Near Standard,2616,56,1,2708,23,4,1380Q,Above Standard,2754,33,At/Near Standard,2679,46,At/Near Standard,2559,80
102109571,F,10,1,2583,28,3,1220L,At/Near Standard,2624,52,At/Near Standard,2585,53,At/Near Standard,2556,79,At/Near Standard,2552,54,1,2458,48,1,920Q,Below Standard,2462,54,Below Standard,2246,198,At/Near Standard,2502,107
865946422,M,10,1,2560,29,2,1175L,Below Standard,2484,56,At/Near Standard,2619,52,Above Standard,2727,80,Below Standard,2438,87,1,2584,33,2,1150Q,Below Standard,2544,43,At/Near Standard,2646,62,At/Near Standard,2663,72
102109574,M,10,1,2741,31,4,1530L,Above Standard,2750,58,Above Standard,2809,59,Above Standard,2767,84,At/Near Standard,2582,85,1,2681,23,3,1330Q,At/Near Standard,2643,36,Above Standard,2695,42,Above Standard,2740,51
102109589,M,10,1,2570,30,2,1195L,Below Standard,2461,68,At/Near Standard,2605,54,Above Standard,2769,110,At/Near Standard,2561,63,1,2583,34,2,1150Q,Below Standard,2477,66,At/Near Standard,2678,58,At/Near Standard,2673,56
102109603,M,10,1,2407,37,1,875L,Below Standard,2482,54,Below Standard,2102,215,At/Near Standard,2529,99,Below Standard,2446,78,1,2295,85,1,615Q,Below Standard,2199,144,Below Standard,2312,198,At/Near Standard,2460,114
