EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
857442888,M,3,1,2401,22,2,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2398,18,2,At/Near Standard,Below Standard,At/Near Standard
483734185,F,3,1,2335,23,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2317,21,1,Below Standard,Below Standard,Below Standard
427676385,F,3,1,2446,23,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2410,19,2,At/Near Standard,At/Near Standard,At/Near Standard
564881337,M,3,1,2514,24,4,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2449,18,3,At/Near Standard,Above Standard,At/Near Standard
184675154,F,3,1,2313,25,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2375,19,1,Below Standard,At/Near Standard,At/Near Standard
898148685,M,3,1,2458,21,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2516,17,4,Above Standard,Above Standard,Above Standard
827543447,F,3,1,2362,24,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2438,17,3,At/Near Standard,Above Standard,At/Near Standard
457499693,M,3,1,2320,26,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2359,21,1,Below Standard,Below Standard,Below Standard
814285228,M,3,1,2331,23,1,Below Standard,At/Near Standard,Below Standard,Below Standard,1,2367,20,1,Below Standard,Below Standard,Below Standard
766475356,M,3,1,2360,25,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2303,23,1,Below Standard,Below Standard,Below Standard
875472472,M,3,1,2350,27,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2382,19,2,At/Near Standard,Below Standard,At/Near Standard
894874235,M,3,1,2484,24,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2406,18,2,At/Near Standard,At/Near Standard,At/Near Standard
856915463,F,3,1,2583,26,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2486,16,3,At/Near Standard,Above Standard,Above Standard
348889862,F,3,1,2413,22,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2352,20,1,Below Standard,Below Standard,Below Standard
454432792,M,3,1,2380,23,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2356,21,1,Below Standard,Below Standard,At/Near Standard
866527216,M,3,1,2486,25,3,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2433,17,2,At/Near Standard,At/Near Standard,At/Near Standard
163333752,M,3,1,2512,23,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2525,16,4,Above Standard,Above Standard,Above Standard
875858335,F,3,1,2458,22,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2470,16,3,Above Standard,At/Near Standard,At/Near Standard
852277867,M,3,1,2501,22,4,At/Near Standard,Above Standard,At/Near Standard,Above Standard,1,2519,16,4,Above Standard,Above Standard,Above Standard
