EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
829428689,M,3,1,2415,22,2,At/Near Standard,2448,38,At/Near Standard,2404,37,At/Near Standard,2351,64,At/Near Standard,2423,49,1,2483,16,3,Above Standard,2487,26,Above Standard,2511,33,At/Near Standard,2452,33
745226645,M,3,1,2432,21,3,At/Near Standard,2461,37,At/Near Standard,2402,37,At/Near Standard,2407,55,At/Near Standard,2457,55,1,2504,16,4,Above Standard,2528,27,At/Near Standard,2472,29,Above Standard,2507,31
527427322,F,3,1,2429,22,2,At/Near Standard,2450,36,At/Near Standard,2402,43,At/Near Standard,2418,63,At/Near Standard,2432,47,1,2427,18,2,At/Near Standard,2427,24,At/Near Standard,2292,97,Above Standard,2481,30
243962383,M,3,1,2330,25,1,Below Standard,2326,39,Below Standard,2302,54,At/Near Standard,2419,56,Below Standard,2284,64,1,2312,22,1,Below Standard,2301,28,Below Standard,2352,46,Below Standard,2307,56
373862684,F,3,1,2337,25,1,Below Standard,2330,45,Below Standard,2356,42,At/Near Standard,2324,73,Below Standard,2322,55,1,2420,19,2,At/Near Standard,2462,27,At/Near Standard,2321,83,At/Near Standard,2377,47
382334554,M,3,1,2420,21,2,At/Near Standard,2445,32,At/Near Standard,2388,45,At/Near Standard,2381,62,At/Near Standard,2424,49,1,2392,19,2,At/Near Standard,2410,26,Below Standard,2308,82,At/Near Standard,2397,40
527165652,M,3,1,2454,22,3,At/Near Standard,2470,34,At/Near Standard,2447,44,At/Near Standard,2395,77,At/Near Standard,2461,47,1,2495,16,3,Above Standard,2499,24,Above Standard,2508,28,At/Near Standard,2469,35
578441241,M,3,1,2558,23,4,Above Standard,2569,47,Above Standard,2503,41,Above Standard,2563,57,Above Standard,2603,43,1,2619,23,4,Above Standard,2619,30,Above Standard,2631,60,Above Standard,2614,42
734888359,M,3,1,2328,24,1,Below Standard,2340,38,Below Standard,2340,40,At/Near Standard,2330,82,Below Standard,2280,61,1,2422,17,2,At/Near Standard,2414,23,At/Near Standard,2450,33,At/Near Standard,2412,37
868671685,M,3,1,2309,28,1,Below Standard,2297,53,Below Standard,2262,52,At/Near Standard,2376,62,At/Near Standard,2344,58,1,2300,26,1,Below Standard,2263,36,At/Near Standard,2409,46,Below Standard,2319,60
