EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
771427666,F,3,1,2272,28,1,265L,Below Standard,2295,53,Below Standard,2257,42,At/Near Standard,2357,75,Below Standard,2210,88,1,2384,19,2,435Q,Below Standard,2380,24,At/Near Standard,2435,34,Below Standard,2308,62
475228413,F,3,1,2368,23,2,495L,Below Standard,2355,40,At/Near Standard,2393,38,At/Near Standard,2371,63,Below Standard,2337,61,1,2332,21,1,280Q,Below Standard,2334,26,Below Standard,2278,68,At/Near Standard,2371,50
527523877,F,3,1,2411,23,2,595L,At/Near Standard,2374,47,At/Near Standard,2464,39,At/Near Standard,2388,55,At/Near Standard,2384,56,1,2460,17,3,665Q,At/Near Standard,2472,25,At/Near Standard,2458,30,At/Near Standard,2438,38
923292687,F,3,1,2517,24,4,845L,Above Standard,2503,44,Above Standard,2521,39,Above Standard,2550,67,Above Standard,2509,48,1,2474,16,3,710Q,Above Standard,2513,26,At/Near Standard,2416,47,At/Near Standard,2454,31
786775249,F,3,1,2355,24,1,460L,At/Near Standard,2403,38,Below Standard,2367,41,Below Standard,2308,73,Below Standard,2267,67,1,2379,19,1,420Q,Below Standard,2389,25,Below Standard,2356,43,At/Near Standard,2376,41
917243533,M,3,1,2398,21,2,565L,At/Near Standard,2383,36,At/Near Standard,2456,39,At/Near Standard,2377,62,Below Standard,2307,69,1,2429,17,2,570Q,At/Near Standard,2450,24,Below Standard,2343,51,At/Near Standard,2455,35
984134833,F,3,1,2432,22,3,645L,At/Near Standard,2423,40,At/Near Standard,2450,42,At/Near Standard,2475,55,At/Near Standard,2384,54,1,2465,16,3,680Q,At/Near Standard,2455,24,At/Near Standard,2458,30,Above Standard,2493,35
978929347,F,3,1,2633,29,4,1120L,Above Standard,2663,64,Above Standard,2629,47,Above Standard,2565,69,Above Standard,2650,57,1,2611,20,4,975Q,Above Standard,2639,36,Above Standard,2617,45,Above Standard,2581,31
529627672,M,3,1,2342,26,1,430L,Below Standard,2348,52,Below Standard,2365,40,Below Standard,2162,151,At/Near Standard,2377,60,1,2369,18,1,390Q,At/Near Standard,2414,26,Below Standard,2169,171,Below Standard,2343,46
358231283,M,3,1,2315,26,1,365L,Below Standard,2297,47,Below Standard,2346,42,At/Near Standard,2368,60,Below Standard,2211,94,1,2413,17,2,525Q,At/Near Standard,2396,28,At/Near Standard,2444,27,At/Near Standard,2376,50
