EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
883266214,F,5,1,2507,23,3,At/Near Standard,2505,40,At/Near Standard,2515,43,At/Near Standard,2371,104,At/Near Standard,2534,43,1,2510,18,2,Below Standard,2484,27,At/Near Standard,2500,34,At/Near Standard,2580,40
531455673,M,5,1,2468,22,2,At/Near Standard,2471,39,At/Near Standard,2501,40,At/Near Standard,2568,81,Below Standard,2303,111,1,2459,21,2,Below Standard,2463,29,Below Standard,2423,48,At/Near Standard,2497,47
137234243,F,5,1,2544,23,3,At/Near Standard,2521,41,At/Near Standard,2533,38,At/Near Standard,2589,92,Above Standard,2577,45,1,2505,20,2,At/Near Standard,2526,26,At/Near Standard,2497,37,At/Near Standard,2448,56
527751239,F,5,1,2442,23,2,Below Standard,2444,38,Below Standard,2440,40,At/Near Standard,2513,74,Below Standard,2393,62,1,2432,25,1,Below Standard,2472,33,Below Standard,2350,81,Below Standard,2397,60
294638557,F,5,1,2405,24,1,Below Standard,2350,54,At/Near Standard,2456,37,Below Standard,2347,89,Below Standard,2377,66,1,2420,24,1,Below Standard,2458,31,Below Standard,2300,122,Below Standard,2386,62
296943242,M,5,1,2545,24,3,At/Near Standard,2562,42,At/Near Standard,2529,41,Above Standard,2686,92,At/Near Standard,2469,64,1,2587,18,4,Above Standard,2581,24,Above Standard,2585,35,Above Standard,2611,43
263237767,M,5,1,2426,24,1,Below Standard,2422,43,Below Standard,2444,38,At/Near Standard,2385,81,At/Near Standard,2413,59,1,2439,25,1,Below Standard,2441,34,Below Standard,2402,60,At/Near Standard,2467,50
227432557,F,5,1,2542,25,3,At/Near Standard,2531,46,At/Near Standard,2543,43,At/Near Standard,2558,74,At/Near Standard,2546,49,1,2521,18,2,At/Near Standard,2505,25,At/Near Standard,2514,35,At/Near Standard,2566,38
977649646,M,5,1,2440,24,1,Below Standard,2411,47,Below Standard,2449,34,At/Near Standard,2494,77,At/Near Standard,2430,64,1,2479,20,2,Below Standard,2430,39,At/Near Standard,2516,32,At/Near Standard,2490,40
137479635,F,5,1,2428,24,1,At/Near Standard,2460,46,Below Standard,2441,36,Below Standard,2334,91,Below Standard,2390,62,1,2532,17,3,At/Near Standard,2523,25,At/Near Standard,2520,32,At/Near Standard,2562,32
