EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
102109501,M,7,1,2483,26,2,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2482,30,1,Below Standard,Below Standard,Below Standard
102623033,M,7,1,2584,26,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2586,23,3,At/Near Standard,At/Near Standard,At/Near Standard
102109509,M,7,1,2583,25,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2631,22,3,Above Standard,Above Standard,At/Near Standard
627598289,M,7,1,2476,30,1,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2556,23,2,At/Near Standard,Below Standard,At/Near Standard
102109520,M,7,1,2550,27,2,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2568,24,3,At/Near Standard,At/Near Standard,At/Near Standard
102109523,F,7,1,2449,26,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2474,30,1,Below Standard,Below Standard,At/Near Standard
102109534,F,7,1,2620,25,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2659,20,4,Above Standard,Above Standard,Above Standard
102109571,F,7,1,2545,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2489,29,2,Below Standard,At/Near Standard,At/Near Standard
865946422,M,7,1,2515,29,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2514,26,2,At/Near Standard,Below Standard,At/Near Standard
102109574,M,7,1,2609,29,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2585,23,3,At/Near Standard,Below Standard,At/Near Standard
102109589,M,7,1,2521,28,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2549,24,2,At/Near Standard,At/Near Standard,At/Near Standard
102109603,M,7,1,2460,28,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2371,43,1,Below Standard,Below Standard,At/Near Standard
102109615,F,7,1,2411,32,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2493,26,2,Below Standard,Below Standard,At/Near Standard
228276384,F,7,1,2526,27,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2524,25,2,At/Near Standard,Below Standard,At/Near Standard
265858888,F,7,1,2429,28,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2370,43,1,Below Standard,Below Standard,Below Standard
167843514,M,7,1,2502,27,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2450,32,1,Below Standard,Below Standard,Below Standard
102109637,M,7,1,2483,30,2,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2487,29,2,Below Standard,Below Standard,At/Near Standard
102109651,F,7,1,2412,28,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2388,35,1,Below Standard,Below Standard,Below Standard
102109652,M,7,1,2550,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2496,30,2,Below Standard,At/Near Standard,At/Near Standard
102109664,M,7,1,2379,34,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2390,39,1,Below Standard,Below Standard,Below Standard
952738243,M,7,1,2582,28,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2577,22,3,At/Near Standard,At/Near Standard,At/Near Standard
102109713,M,7,1,2505,26,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2580,21,3,At/Near Standard,At/Near Standard,At/Near Standard
101376294,F,7,1,2507,27,2,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2432,33,1,Below Standard,Below Standard,At/Near Standard
102109732,M,7,1,2577,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2532,23,2,At/Near Standard,Below Standard,At/Near Standard
102109745,M,7,1,2446,26,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2469,29,1,Below Standard,Below Standard,At/Near Standard
102109760,F,7,1,2401,31,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2442,32,1,Below Standard,At/Near Standard,At/Near Standard
102621572,F,7,1,2297,47,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2283,60,1,Below Standard,Below Standard,Below Standard
102109765,F,7,1,2543,28,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2565,21,2,At/Near Standard,At/Near Standard,At/Near Standard
102109766,M,7,1,2448,26,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2452,29,1,Below Standard,Below Standard,Below Standard
102109796,M,7,1,2387,32,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2495,29,2,Below Standard,At/Near Standard,At/Near Standard
102109811,M,7,1,2570,27,3,Below Standard,At/Near Standard,At/Near Standard,Above Standard,1,2537,23,2,At/Near Standard,At/Near Standard,At/Near Standard
102109826,M,7,1,2489,25,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2470,30,1,Below Standard,At/Near Standard,At/Near Standard
102109839,M,7,1,2481,27,2,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2527,25,2,At/Near Standard,At/Near Standard,At/Near Standard
102109866,F,7,1,2545,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2552,25,2,At/Near Standard,At/Near Standard,At/Near Standard
102109876,M,7,1,2522,25,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2478,31,1,At/Near Standard,Below Standard,At/Near Standard
102109892,F,7,1,2565,28,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2598,20,3,Above Standard,At/Near Standard,At/Near Standard
100142700,F,7,1,2578,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2537,26,2,Below Standard,At/Near Standard,At/Near Standard
287316725,F,7,1,2546,26,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2518,27,2,At/Near Standard,At/Near Standard,At/Near Standard
102109926,M,7,1,2515,26,2,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2433,32,1,Below Standard,Below Standard,Below Standard
100148321,M,7,1,2410,30,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2337,49,1,Below Standard,Below Standard,At/Near Standard
102109947,M,7,1,2679,26,4,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2711,21,4,Above Standard,Above Standard,Above Standard
