EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
883266214,F,8,1,2586,28,3,1210L,At/Near Standard,2524,56,Above Standard,2684,63,At/Near Standard,2510,82,At/Near Standard,2593,48,1,2555,28,2,1040Q,At/Near Standard,2529,38,At/Near Standard,2576,52,At/Near Standard,2596,58
778728786,F,8,1,2522,27,2,1075L,At/Near Standard,2580,49,At/Near Standard,2503,44,At/Near Standard,2572,71,Below Standard,2457,60,1,2582,26,2,1100Q,At/Near Standard,2591,35,At/Near Standard,2609,43,At/Near Standard,2491,70
493783818,M,8,1,2518,25,2,1065L,Below Standard,2498,40,Below Standard,2472,48,At/Near Standard,2562,79,At/Near Standard,2598,55,1,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted
647384325,F,8,1,2671,30,4,1395L,Above Standard,2714,59,At/Near Standard,2637,62,At/Near Standard,2661,71,Above Standard,2661,58,1,2546,29,2,1020Q,At/Near Standard,2588,37,At/Near Standard,2512,65,Below Standard,2399,102
833321881,F,8,1,2545,28,2,1125L,Below Standard,2444,56,At/Near Standard,2570,59,At/Near Standard,2624,81,At/Near Standard,2606,61,1,2491,33,1,900Q,Below Standard,2510,43,At/Near Standard,2482,69,Below Standard,2439,87
769842879,M,8,1,2575,26,3,1190L,At/Near Standard,2590,44,At/Near Standard,2576,49,At/Near Standard,2580,74,At/Near Standard,2548,56,1,2582,26,2,1100Q,At/Near Standard,2587,37,At/Near Standard,2581,49,At/Near Standard,2573,54
137234243,F,8,1,2642,26,3,1330L,Above Standard,2653,44,Above Standard,2659,54,At/Near Standard,2594,63,At/Near Standard,2644,55,1,2555,26,2,1040Q,At/Near Standard,2605,36,At/Near Standard,2519,58,Below Standard,2406,107
527751239,F,8,1,2522,25,2,1075L,At/Near Standard,2510,44,Below Standard,2462,57,At/Near Standard,2612,81,At/Near Standard,2561,53,1,2347,40,1,590Q,Below Standard,2291,62,Below Standard,2414,76,Below Standard,2402,71
294638557,F,8,1,2535,27,2,1105L,At/Near Standard,2541,49,At/Near Standard,2499,46,At/Near Standard,2558,64,At/Near Standard,2563,57,1,2494,31,1,905Q,At/Near Standard,2575,42,At/Near Standard,2309,197,Below Standard,2347,102
296943242,M,8,1,2560,25,2,1155L,At/Near Standard,2552,40,At/Near Standard,2558,54,Above Standard,2709,93,At/Near Standard,2482,65,1,2574,25,2,1080Q,At/Near Standard,2573,38,At/Near Standard,2605,40,At/Near Standard,2532,52
